Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
355,355,0,ff5e,0,0000038c,00000000
356,356,0,ff5e,0,00000390,bf30ff7f
357,357,0,ff5e,0,00000394,b530bd00
358,358,0,ff5e,0,00000394,00000000
359,359,0,ff5e,0,00000398,25004604
360,360,0,ff5e,0,0000039c,f44fe005
361,361,0,ff5e,0,0000039c,00000000
362,362,0,ff5e,0,0000039c,00000000
363,363,0,ff5e,0,0000039c,00000000
364,364,0,ff5e,0,0000039c,00000000
365,365,0,ff5e,0,0000039c,00000000
366,366,0,ff5e,0,0000039c,00000000
367,367,0,ff5e,0,0000039c,00000000
368,368,0,ff5e,0,0000039c,00000000
369,369,0,ff5e,0,0000039c,00000000
370,370,0,ff5e,0,0000039c,00000000
371,371,0,ff5e,0,0000039c,00000000
372,372,0,ff5e,0,0000039c,00000000
373,373,0,ff5e,0,0000039c,00000000
374,374,0,ff5e,0,0000039c,00000000
375,375,0,ff5e,0,0000039c,00000000
376,376,0,ff5e,0,0000039c,00000000
377,377,0,ff5e,0,0000039c,00000000
378,378,0,ff5e,0,0000039c,00000000
379,379,0,ff5e,0,0000039c,00000000
380,380,0,ff5e,0,0000039c,00000000
381,381,0,ff5e,0,0000039c,00000000
382,382,0,ff5e,0,0000039c,00000000
383,383,0,ff5e,0,0000039c,00000000
384,384,0,ff5e,0,0000039c,00000000
385,385,0,ff5e,0,0000039c,00000000
386,386,0,ff5e,0,0000039c,00000000
387,387,0,ff5e,0,0000039c,00000000
388,388,0,ff5e,0,0000039c,00000000
389,389,0,ff5e,0,0000039c,00000000
390,390,0,ff5e,0,0000039c,00000000
391,391,0,ff5e,0,0000039c,00000000
392,392,0,ff5e,0,0000039c,00000000
393,393,0,ff5e,0,0000039c,00000000
394,394,0,ff5e,0,0000039c,00000000
395,395,0,ff5e,0,0000039c,00000000
396,396,0,ff5e,0,0000039c,00000000
397,397,0,ff5e,0,0000039c,00000000
398,398,0,ff5e,0,0000039c,00000000
399,399,0,ff5e,0,0000039c,00000000
400,400,0,ff5e,0,0000039c,00000000
401,401,0,ff5e,0,0000039c,00000000
402,402,0,ff5e,0,0000039c,00000000
403,403,0,ff5e,0,0000039c,00000000
404,404,0,ff5e,0,0000039c,00000000
405,405,0,ff5e,0,0000039c,00000000
406,406,0,ff5e,0,0000039c,00000000
407,407,0,ff5e,0,0000039c,00000000
408,408,0,ff5e,0,0000039c,00000000
409,409,0,ff5e,0,0000039c,00000000
410,410,0,ff5e,0,0000039c,00000000
411,411,0,ff5e,0,0000003c,00000000
412,412,0,ff5e,0,0000039c,000002c1
413,413,0,ff5e,0,000002c4,00000000
414,414,0,ff5e,0,000002c4,00000000
415,415,0,ff5e,0,000002c0,00000000
416,416,0,ff5e,0,000002c4,68004802
417,417,0,ff5e,0,000002c8,49011c40
418,418,0,ff5e,0,000002cc,47706008
419,419,0,ff5e,0,000002cc,00000000
420,420,0,ff5e,0,000002cc,00000000
421,421,0,ff5e,0,000002cc,00000000
422,422,0,ff5e,0,000002cc,20000004
423,423,0,ff5e,0,000002cc,00000000
424,424,0,ff5e,0,000002d0,00000000
425,425,0,ff5e,0,000002d0,20000004
426,426,0,ff5e,0,000002d4,4811b51f
427,427,0,ff5e,0,000002d4,00000000
428,428,0,ff5e,0,000002d4,20000004
429,429,0,ff5e,0,1ffffff8,00000000
430,430,0,ff5e,0,1ffffffc,00000000
431,431,0,ff5e,0,1ffffffc,00000000
432,432,0,ff5e,0,1ffffffc,00000000
433,433,0,ff5e,0,00000390,00000000
434,434,0,ff5e,0,00000394,00000000
435,435,0,ff5e,0,00000394,b530bd00
436,436,0,ff5e,0,00000398,25004604
437,437,0,ff5e,0,0000039c,f44fe005
438,438,0,ff5e,0,0000039c,00000000
439,439,0,ff5e,0,0000039c,00000000
440,440,0,ff5e,0,0000039c,00000000
441,441,0,ff5e,0,0000039c,00000000
442,442,0,ff5e,0,000003b8,00000000
443,443,0,ff5e,0,000003bc,1c60ffdc
