Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
259,259,0,ff5e,0,000003c8,00000000
260,260,0,ff5e,0,000003c8,00000000
261,261,0,ff5e,0,000003c8,00000000
262,262,0,ff5e,0,000003c8,00000000
263,263,0,ff5e,0,000003c8,00000000
264,264,0,ff5e,0,000003c8,00000000
265,265,0,ff5e,0,000003c8,00000000
266,266,0,ff5e,0,000003c8,00000000
267,267,0,ff5e,0,000003c8,00000000
268,268,0,ff5e,0,000003c8,00000000
269,269,0,ff5e,0,000003c8,00000000
270,270,0,ff5e,0,000003c8,00000000
271,271,0,ff5e,0,000003c8,00000000
272,272,0,ff5e,0,000003c8,00000000
273,273,0,ff5e,0,000003c8,00000000
274,274,0,ff5e,0,000003c8,00000000
275,275,0,ff5e,0,000003c8,00000000
276,276,0,ff5e,0,000003c8,00000000
277,277,0,ff5e,0,000003c8,00000000
278,278,0,ff5e,0,000003c8,00000000
279,279,0,ff5e,0,000003c8,00000000
280,280,0,ff5e,0,000003c8,00000000
281,281,0,ff5e,0,000003c8,00000000
282,282,0,ff5e,0,000003c8,00000000
283,283,0,ff5e,0,000003c8,00000000
284,284,0,ff5e,0,000003c8,00000000
285,285,0,ff5e,0,000003c8,00000000
286,286,0,ff5e,0,000003c8,00000000
287,287,0,ff5e,0,000003c8,00000000
288,288,0,ff5e,0,000003c8,00000000
289,289,0,ff5e,0,000003c8,00000000
290,290,0,ff5e,0,000003c8,00000000
291,291,0,ff5e,0,000003c8,00000000
292,292,0,ff5e,0,000003c8,00000000
293,293,0,ff5e,0,000003c8,00000000
294,294,0,ff5e,0,000003c8,00000000
295,295,0,ff5e,0,000003c8,00000000
296,296,0,ff5e,0,000003c8,00000000
297,297,0,ff5e,0,000003c8,00000000
298,298,0,ff5e,0,000003c8,00000000
299,299,0,ff5e,0,000003c8,00000000
300,300,0,ff5e,0,000003c8,00000000
301,301,0,ff5e,0,000003c8,00000000
302,302,0,ff5e,0,000003c8,00000000
303,303,0,ff5e,0,000003c8,00000000
304,304,0,ff5e,0,000003c8,00000000
305,305,0,ff5e,0,000003c8,00000000
306,306,0,ff5e,0,0000003c,00000000
307,307,0,ff5e,0,000003c8,000002ed
308,308,0,ff5e,0,000002f0,00000000
309,309,0,ff5e,0,000002f0,00000000
310,310,0,ff5e,0,000002ec,00000000
311,311,0,ff5e,0,000002f0,68004802
312,312,0,ff5e,0,000002f4,49011c40
313,313,0,ff5e,0,000002f8,47706008
314,314,0,ff5e,0,000002f8,00000000
315,315,0,ff5e,0,000002f8,00000000
316,316,0,ff5e,0,000002f8,00000000
317,317,0,ff5e,0,000002f8,20000004
318,318,0,ff5e,0,000002f8,00000000
319,319,0,ff5e,0,000002fc,00000000
320,320,0,ff5e,0,000002fc,20000004
321,321,0,ff5e,0,00000300,4811b51f
322,322,0,ff5e,0,00000300,00000000
323,323,0,ff5e,0,00000300,20000004
324,324,0,ff5e,0,1ffffff8,00000000
325,325,0,ff5e,0,1ffffffc,00000000
326,326,0,ff5e,0,1ffffffc,00000000
327,327,0,ff5e,0,1ffffffc,00000000
328,328,0,ff5e,0,000003bc,00000000
329,329,0,ff5e,0,000003c0,00000000
330,330,0,ff5e,0,000003c0,b530bd00
331,331,0,ff5e,0,000003c4,25004604
332,332,0,ff5e,0,000003c8,f44fe005
333,333,0,ff5e,0,000003c8,00000000
334,334,0,ff5e,0,000003c8,00000000
335,335,0,ff5e,0,000003c8,00000000
336,336,0,ff5e,0,000003c8,00000000
337,337,0,ff5e,0,000003e4,00000000
338,338,0,ff5e,0,000003e8,1c60ffdc
339,339,0,ff5e,0,000003ec,429cb284
340,340,0,ff5e,0,000003f0,bd10dbf8
341,341,0,ff5e,0,000003f4,4825b086
342,342,0,ff5e,0,000003e0,f44f6800
343,343,0,ff5e,0,000003e4,f7ff2032
344,344,0,ff5e,0,000003e8,1c60ffdc
345,345,0,ff5e,0,0000039c,429cb284
346,346,0,ff5e,0,000003a0,b5004770
347,347,0,ff5e,0,000003a4,20004602
348,348,0,ff5e,0,000003a8,ff88f7ff
349,349,0,ff5e,0,000003ac,f7ff4610
350,350,0,ff5e,0,000003ac,00000000
351,351,0,ff5e,0,000002b8,2000ff89
352,352,0,ff5e,0,000002bc,21e0f04f
353,353,0,ff5e,0,000002c0,47706108
354,354,0,ff5e,0,000002c4,21e0f04f
355,355,0,ff5e,0,000002c8,47706148
356,356,0,ff5e,0,000003a8,00000000
357,357,0,ff5e,0,0000003c,00000000
358,358,0,ff5e,0,000003ac,000002ed
359,359,0,ff5e,0,000002f0,00000000
360,360,0,ff5e,0,000002f0,00000000
361,361,0,ff5e,0,000002ec,00000000
362,362,0,ff5e,0,000002f0,68004802
363,363,0,ff5e,0,000002f4,49011c40
364,364,0,ff5e,0,000002f8,47706008
365,365,0,ff5e,0,000002f8,00000000
366,366,0,ff5e,0,000002f8,00000000
367,367,0,ff5e,0,000002f8,00000000
368,368,0,ff5e,0,000002f8,20000004
369,369,0,ff5e,0,000002f8,00000000
370,370,0,ff5e,0,000002fc,00000000
371,371,0,ff5e,0,000002fc,20000004
372,372,0,ff5e,0,00000300,4811b51f
373,373,0,ff5e,0,00000300,00000000
374,374,0,ff5e,0,00000300,20000004
375,375,0,ff5e,0,1ffffff8,00000000
376,376,0,ff5e,0,1ffffffc,00000000
377,377,0,ff5e,0,1ffffffc,00000000
378,378,0,ff5e,0,1ffffffc,00000000
379,379,0,ff5e,0,000002bc,00000000
380,380,0,ff5e,0,000002c0,00000000
381,381,0,ff5e,0,000002c0,47706108
382,382,0,ff5e,0,000002c4,21e0f04f
383,383,0,ff5e,0,000002c8,47706148
384,384,0,ff5e,0,000002c8,00000000
385,385,0,ff5e,0,000002c8,00000000
386,386,0,ff5e,0,000003a8,00000000
387,387,0,ff5e,0,000003ac,f7ff4610
388,388,0,ff5e,0,000003b0,2000ff89
389,389,0,ff5e,0,000003b0,00000000
390,390,0,ff5e,0,000002c0,ff8af7ff
391,391,0,ff5e,0,000002c4,21e0f04f
392,392,0,ff5e,0,000002c8,47706148
393,393,0,ff5e,0,000002cc,21e0f04f
394,394,0,ff5e,0,000002d0,47706188
395,395,0,ff5e,0,000003ac,00000000
396,396,0,ff5e,0,000003b0,2000ff89
397,397,0,ff5e,0,000003b4,ff8af7ff
398,398,0,ff5e,0,000003b4,00000000
399,399,0,ff5e,0,000002c8,f7ff2007
400,400,0,ff5e,0,000002cc,21e0f04f
401,401,0,ff5e,0,000002d0,47706188
402,402,0,ff5e,0,000002d4,2000b510
403,403,0,ff5e,0,000002d8,fff0f7ff
404,404,0,ff5e,0,000003b4,00000000
405,405,0,ff5e,0,000003b8,f7ff2007
406,406,0,ff5e,0,000003bc,bf30ff7f
407,407,0,ff5e,0,000003bc,00000000
408,408,0,ff5e,0,000002b8,b530bd00
409,409,0,ff5e,0,000002bc,21e0f04f
410,410,0,ff5e,0,000002c0,47706108
411,411,0,ff5e,0,000002c4,21e0f04f
412,412,0,ff5e,0,000002c8,47706148
413,413,0,ff5e,0,000003b8,00000000
414,414,0,ff5e,0,000003bc,bf30ff7f
415,415,0,ff5e,0,000003c0,b530bd00
416,416,0,ff5e,0,000003c0,00000000
417,417,0,ff5e,0,000003c4,25004604
418,418,0,ff5e,0,000003c8,f44fe005
419,419,0,ff5e,0,000003c8,00000000
420,420,0,ff5e,0,000003c8,00000000
421,421,0,ff5e,0,000003c8,00000000
422,422,0,ff5e,0,000003c8,00000000
423,423,0,ff5e,0,000003c8,00000000
424,424,0,ff5e,0,000003c8,00000000
425,425,0,ff5e,0,000003c8,00000000
426,426,0,ff5e,0,000003c8,00000000
427,427,0,ff5e,0,000003c8,00000000
428,428,0,ff5e,0,000003c8,00000000
429,429,0,ff5e,0,000003c8,00000000
430,430,0,ff5e,0,000003c8,00000000
431,431,0,ff5e,0,000003c8,00000000
432,432,0,ff5e,0,000003c8,00000000
433,433,0,ff5e,0,000003c8,00000000
434,434,0,ff5e,0,000003c8,00000000
435,435,0,ff5e,0,000003c8,00000000
436,436,0,ff5e,0,000003c8,00000000
437,437,0,ff5e,0,000003c8,00000000
438,438,0,ff5e,0,000003c8,00000000
439,439,0,ff5e,0,000003c8,00000000
440,440,0,ff5e,0,000003c8,00000000
441,441,0,ff5e,0,000003c8,00000000
442,442,0,ff5e,0,000003c8,00000000
443,443,0,ff5e,0,000003c8,00000000
444,444,0,ff5e,0,000003c8,00000000
445,445,0,ff5e,0,000003c8,00000000
446,446,0,ff5e,0,000003c8,00000000
447,447,0,ff5e,0,000003c8,00000000
448,448,0,ff5e,0,000003c8,00000000
449,449,0,ff5e,0,000003c8,00000000
450,450,0,ff5e,0,000003c8,00000000
451,451,0,ff5e,0,000003c8,00000000
452,452,0,ff5e,0,000003c8,00000000
453,453,0,ff5e,0,000003c8,00000000
454,454,0,ff5e,0,000003c8,00000000
455,455,0,ff5e,0,000003c8,00000000
456,456,0,ff5e,0,000003c8,00000000
457,457,0,ff5e,0,000003c8,00000000
458,458,0,ff5e,0,000003c8,00000000
459,459,0,ff5e,0,000003c8,00000000
